Name,Price,Date
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card CLEARANCE!,309.0,24 Feb 2020
"GIGABYTE GTX1080 (8GB) Graphics Card, small size, very little use",271.0,24 Feb 2020
GIGABYTE GTX1080 TURBO OC | Very Lightly Use | Never Overclocked ,248.84,25 Feb 2020
"GeForce GTX 1080 PNY Nvidia  OC GAMING Graphics Card GDDR5X, 8 GB",290.0,25 Feb 2020
NVIDIA GEFORCE GTX 1080 8GB Graphics Card,270.0,25 Feb 2020
Palit Nvidia GeForce GTX 1080 (Dual OC) 8GB GDDR5X VR Ready Graphics Card MINT,289.0,25 Feb 2020
MSI Geforce GTX 1080 Gaming X Plus 8G Graphics Card,245.0,26 Feb 2020
ZOTAC GTX 1080 MINI 8G Gaming Graphics Card 8GB GPU ,265.0,26 Feb 2020
Gigabyte Nvidia GeForce GTX 1080G1 GDR5X 8GB -Black- excellent condition,292.0,27 Feb 2020
GIGABYTE GTX 1080 XTREME GAMING 8G Graphics Card 8GB GPU *BOXED & TESTED*,309.99,27 Feb 2020
EVGA GEFORCE GTX 1080 8GB (08G-P4-6181-KR),230.0,27 Feb 2020
Nvidia GeForce GTX 1080  8GB ROG STRIX GDDR5X,260.0,27 Feb 2020
NVidia GTX 1080 Founders Edition 8GB Excellent Condition,199.07,28 Feb 2020
GIGABYTE GTX 1080 XTREME GAMING 8G Graphics Card 8GB GPU *BOXED & TESTED*,309.99,28 Feb 2020
ASUS Nvidia GeForce GTX 1080 4GB GDDR5 GPU Reference Graphics Card  ,129.0,28 Feb 2020
"PALIT GTX 1080 GAMEROCK PREMIUM EDITION 8GB GDDR5X 256bit, 2560 Core, 1746MHz",235.0,28 Feb 2020
MSI Nvidia GTX 1080 sea hawk water cooled GPU,310.0,28 Feb 2020
MSI NVIDIA GeForce GTX 1080 Armor (8GB) Graphic Card,249.99,29 Feb 2020
Gigabyte Nvidia GeForce GTX 1080 G1 GDR5X 8GB,250.0,29 Feb 2020
Palit GeForce GTX 1080 GameRock Premium Edition 8GB GDDR5X,255.0,29 Feb 2020
GIGABYTE GeForce GTX 1080 G1 GAMING-8GD (8GB) Graphics Card - VR Ready,240.0,29 Feb 2020
Nvidia Geforce GTX 1080 8GB GDDR5X - INNO3D VR Ready PC Graphics Card (#2),230.0,29 Feb 2020
GIGABYTE GeForce GTX 1080 G1 GAMING-8GD (8GB) Graphics Card - VR Ready,257.0,1 Mar 2020
MSI GeForce GTX 1080 8 GB ARMOR Graphics Card,221.0,1 Mar 2020
Gigabyte Nvidia GeForce GTX 1080G1-8Gb-excellent condition,290.0,1 Mar 2020
NVIDIA MSI Geforce GTX 1080 Gaming X PLUS 8G 11Gbps Graphics Card MINT Condition,315.0,3 Mar 2020
EVGA GTX 1080 SC GAMING 8G  Graphics Card 8GB GPU,299.99,3 Mar 2020
MSI GeForce GTX 1080 8 GB ARMOR Graphics Card,235.0,5 Mar 2020
EVGA GTX 1080 SC,310.0,5 Mar 2020
MSI NVIDIA GeForce GTX 1080 Gaming X - 8GB GDDR5X VR Ready Graphics Card,200.0,5 Mar 2020
EVGA GTX 1080 FTW,250.0,5 Mar 2020
Gigabyte Windforce Nvidia GeForce GTX 1080 8GB DDR5X Gaming Graphics Card ,299.0,5 Mar 2020
EVGA GTX 1080 FTW2 Gaming  Graphics Card 8GB GDDR5 Pascal Chipset iCX Cooling,285.0,6 Mar 2020
EVGA GeForce GTX 1080 GAMING SC 8GB video Graphics Card,299.99,7 Mar 2020
Zotac GeForce GTX 1080 AMP Edition 8192MB GDDR5X PCI-Express Graphics Card Used,231.0,7 Mar 2020
MSI Geforce GTX 1080 Gaming X 8G Graphics Card,255.0,7 Mar 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card Backplate,260.0,7 Mar 2020
Nvidia EVGA GTX 1080 FTW 8GB Graphics Card. ,280.0,7 Mar 2020
"PNY Nvidia GeForce GTX 1080 OC GAMING Graphics Card GDDR5X, 8 GB",266.0,8 Mar 2020
"GIGABYTE GTX1080 (8GB) Graphics Card, small size, very little use",251.0,8 Mar 2020
Gigabyte Nvidia GeForce GTX 1080 G1 Gaming 8G - OC Windforce RGB - Graphics Card,260.0,8 Mar 2020
EVGA Geforce GTX 1080 FTW Graphics Card,320.0,9 Mar 2020
PALIT GEFORCE GTX 1080 GAMEROCK 8GB GRAPHICS CARD NEB1080T15P2-1040G (RN3560),260.0,9 Mar 2020
GIGABYTE GeForce GTX 1080 WINDFORCE OC 8G GDDR5X ,256.0,9 Mar 2020
Nvidia Gtx 1080,260.0,9 Mar 2020
Palit GeForce GTX 1080 Gamerock 8GB GDDR5X Boxed RGB lighting NVIDIA,245.0,9 Mar 2020
