Name,Price,Date
ASUS NVIDIA Rog STRIX OC GeForce GTX 1070 8GB GDDR5 Gaming Graphics Card,220.0,31 Jan 2020
MSI RTX 2070 SUPER,400.0,31 Jan 2020
Nvidia Geforce RTX 2070 EVGA XC 8GB GDDR6 Graphics Card,365.0,4 Feb 2020
Nvidia Geforce RTX 2070 EVGA XC 8GB GDDR6 Graphics Card,365.0,5 Feb 2020
Nvidia Geforce RTX 2070 Aorus Xtreme 8GB GDDR6 Graphics Card,370.0,8 Feb 2020
GIGABYTE GeForce RTX 2070 Super Windforce OC 8GB GDDR6 Graphics Card,410.0,9 Feb 2020
ASUS GeForce RTX 2070 Dual Advanced 8GB Graphics Video,329.0,12 Feb 2020
GPU Nvidia Geforce MSI RTX 2070 Super Ventus OC 8GB  2070s ( same as RTX 2080 ),419.0,13 Feb 2020
Gigabyte Nvidia GeForce RTX 2070 WindForce 3X 8GB Graphics Card,319.0,17 Feb 2020
MSI GeForce RTX 2070 SUPER VENTUS OC NVIDIA 8GB GDDR6 *GREAT CONDITION*,397.99,20 Feb 2020
Inno3D GeForce RTX 2070 Super Twin X2 OC 8.0 GB Graphics Card Boxed used once,380.0,23 Feb 2020
MSI GeForce RTX 2070 SUPER 8GB GAMING X TRIO Boost Graphics Card,435.0,26 Feb 2020
Nvidia Geforce RTX 2070 EVGA XC Ultra 8GB GDDR6 Graphics Card,375.0,27 Feb 2020
Asus GeForce RTX DUAL-RTX2070-A8G-EVO Graphics Card,325.0,27 Feb 2020
Gigabyte GeForce RTX 2070 SUPER WindForce OC  8G 8192MB GDDR6 Graphics Card,410.0,27 Feb 2020
Nvidia Geforce RTX 2070 KFA2 Mini OC 8GB GDDR6 Graphics Card,335.0,27 Feb 2020
MSI NVIDIA GeForce RTX 2070 Super Gaming X Trio 8GB GDDR6 Graphics Card,410.0,28 Feb 2020
GIGABYTE GeForce RTX 2070 SUPER 8gb (GV-N207SGAMING OC-8GD) Processor,395.0,28 Feb 2020
MSI NVIDIA GeForce RTX 2070 SUPER 8GB VENTUS OC Turing Graphics Card,399.99,29 Feb 2020
ASUS NVIDIA Rog STRIX OC GeForce RTX 2070 8GB GDDR6  Gaming Graphics Card,369.0,1 Mar 2020
MSI NVIDIA GeForce RTX 2070 Aero 8GB GDDR6 Graphics Card (Used 1yr) ,295.0,3 Mar 2020
ASUS NVIDIA GeForce RTX 2070 8GB GDDR6 Graphics Card (90YV0CE0-M0NA00),327.0,3 Mar 2020
MSI NVIDIA GeForce RTX 2070 Super Gaming X Trio 8GB GDDR6 Graphics Card,420.0,4 Mar 2020
Gainward Nvidia GeForce RTX 2070 8GB GDDR6 Graphics Card,280.01,5 Mar 2020
MSI GeForce RTX 2070 Gaming Z 8GB GDDR6 Graphics Card. ,350.0,8 Mar 2020
8GB GIGABYTE RTX 2070 SUPER Graphics Card WindForce 3x PCIE NVIDIA GDDR6 RTX2070,399.99,8 Mar 2020
Razer Core X Chroma RGB Thunderbolt 3 eGPU with ASUS Turbo RTX 2070-8G,499.95,8 Mar 2020
Nvidia geforce rtx 2070 super,421.0,11 Mar 2020
Nvidia Geforce RTX 2070 Super Zotac Amp Extreme 8GB GDDR6 Graphics Cards,440.0,13 Mar 2020
Gigabyte Aorus GeForce RTX 2070 Super 8GB perfect condition,480.0,14 Mar 2020
Nvidia Geforce RTX 2070 EVGA XC 8GB GDDR6 Graphics Card,365.0,14 Mar 2020
Zotac GeForce RTX 2070 Mini Blower 8192MB GDDR6 PCI-Express Graphics Card,300.0,14 Mar 2020
GIGABYTE GeForce RTX 2070 Super Windforce 8GB GDDR6 Graphics Card,350.0,15 Mar 2020
PalLit Nvidia Geforce RTX 2070 Super graphics card,320.0,15 Mar 2020
ASUS NVIDIA GeForce RTX 2070 8GB GDDR6 Graphics Card (90YV0CE0-M0NA00),350.0,16 Mar 2020
Asus Rog Strix Rtx 2070 Super,475.0,16 Mar 2020
ZOTAC NVIDIA GeForce RTX 2070 8GB GDDR6 Graphics Card,320.0,17 Mar 2020
Nvidia MSI RTX 2070 ARMOR 8G,307.12,18 Mar 2020
ZOTAC GeForce RTX 2070 AMP Extreme! 8GB GDDR6 perfect condition,401.0,18 Mar 2020
MSI NVIDIA GEFORCE RTX 2070 SUPER VENTUS OC Graphics Card 8GB GDDR6 1785MHz 3DP,449.99,19 Mar 2020
Zotac GAMING GeForce RTX 2070 8GB AMP Extreme Core - Display Port/ HDMI/ VR,349.99,21 Mar 2020
