Name,Price,Date
Zotac Gaming  GeForce RTX 2060 Twin Fan 6GB Graphics Card no4,250.0,29 Dec 2019
Nvidia Founders RTX 2060 6GB GPU *Great condition*,275.0,30 Dec 2019
EVGA GeForce RTX 2060 6GB XC Graphics Card VGA,284.99,31 Dec 2019
Palit GeForce RTX 2060 6gb StormX Boost Graphics Card,235.0,1 Jan 2020
NVIDIA GeForce RTX 2060 Founders Edition GDDR6 Graphics Card - 6GB,285.0,3 Jan 2020
MSI NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (RTX2060-VENTUS6GOC),250.0,3 Jan 2020
ASUS Turbo GeForce RTX 2060 6GB GDDR6 Graphics Card - 90YV0CM0-M0NA00,249.0,3 Jan 2020
ASUS Turbo GeForce RTX 2060 6GB GDDR6 Graphics Card - 90YV0CM0-M0NA00,249.0,4 Jan 2020
GIGABYTE NVIDIA GEFORCE RTX 2060 WINDFORCE OC EDITION GRAPHICS CARD 6GB GDDR6 ,275.0,6 Jan 2020
ASUS GeForce RTX 2060 Super Dual OC Edition 8GB GDDR6,295.0,6 Jan 2020
Used EVGA GEFORCE RTX 2060 XC ULTRA GAMING 6GB GDDR6 GPU,270.0,7 Jan 2020
ASUS NVIDIA GeForce RTX 2060 6GB GDDR6 Dual Graphics Card ,242.0,9 Jan 2020
MSI NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (RTX2060-VENTUS6GOC),225.0,9 Jan 2020
ZOTAC NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card - Pristine condition!,216.0,12 Jan 2020
GIGABYTE NVIDIA GEFORCE RTX 2060 WINDFORCE OC EDITION GRAPHICS CARD 6GB GDDR6 ,241.0,14 Jan 2020
ZOTAC NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card,235.0,16 Jan 2020
(Grade B) Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G Graphics Card,308.49,17 Jan 2020
ASUS ROG Strix NVIDIA GeForce GTX 1060 OC edition 6GB GDDR5 Graphics Card,134.0,19 Jan 2020
ASUS NVIDIA GeForce GTX 1060 6GB GDDR5 Graphics Card ,126.0,22 Jan 2020
MSI GeForce RTX 2060 GAMING Z 6G Graphics Card,240.0,25 Jan 2020
Gigabyte Aorus GeForce RTX 2060 Super 8GB very good condition,370.0,25 Jan 2020
nvidia geforce rtx 2060. XLR8 Gaming,190.0,26 Jan 2020
Gainward PCIe RTX2060 Phoenix 6GB DDR6,240.0,26 Jan 2020
MSI NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card ,245.0,29 Jan 2020
Palit GeForce RTX 2060 6GB StormX Graphics Card,228.0,1 Feb 2020
ASUS NVIDIA GeForce GTX 1060 Turbo 6GB Graphics Card ,134.0,2 Feb 2020
MSI GeForce RTX 2060 6GB Ventus OC Graphics Card,255.0,2 Feb 2020
Gigabyte GeForce RTX 2060 Super,300.0,2 Feb 2020
Palit GeForce Nvidia RTX 2060 Super Dual 8GB,319.99,5 Feb 2020
Gigabyte GeForce RTX 2060 Windforce Graphics Card,230.0,6 Feb 2020
EVGA GeForce RTX 2060 XC Black Edition VR Ready graphics card,255.0,7 Feb 2020
MSI GeForce RTX 2060 GAMING Z 6G Graphics Card,270.0,10 Feb 2020
ZOTAC NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (ZTT20600F10M),200.0,11 Feb 2020
BARGAIN Zotac GeForce RTX 2060 AMP EDITION 6GB GDDR Graphics Card GPU,260.0,11 Feb 2020
Palit GeForce RTX 2060 6gb StormX OC Boost Graphics Card,230.0,12 Feb 2020
NVIDIA GeForce RTX 2060 Founders Edition GDDR6 6GB - Boxed with 2 year Warranty,289.0,14 Feb 2020
Zotac GeForce RTX 2060 SUPER Mini 8GB Graphics Card,300.0,16 Feb 2020
GIGABYTE GeForce RTX 2060 Super Windforce OC 8G Graphics Card,315.0,17 Feb 2020
"MSI NVIDIA GEFORCE RTX 2060 SUPER ARMOR OC Graphics Card '8GB GDDR6, 1680MHz",290.0,18 Feb 2020
Gigabyte Aorus GeForce RTX 2060 Super 8GB very good condition,370.0,20 Feb 2020
NVIDIA GeForce RTX 2060 Founders Edition GDDR6 Graphics Card - 6GB,280.0,21 Feb 2020
EVGA GeForce RTX 2060 XC Black Edition VR Ready graphics card,220.99,23 Feb 2020
Gigabyte GeForce RTX 2060 Windforce Graphics Card,237.0,24 Feb 2020
ZOTAC NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card,232.0,25 Feb 2020
MSI RTX 2060 Super Ventus OC 8 GB GDDR6 HDMI Graphic Card,340.0,26 Feb 2020
Nvidia Geforce RTX 2060 Super Gainward Ghost 8GB GDDR6 Graphics Card,327.5,29 Feb 2020
ASUS NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (90YV0CI0M0NA00),249.99,29 Feb 2020
ASUS NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (90YV0CI0M0NA00),225.0,29 Feb 2020
Nvidia GeForce RTX 2060,206.0,1 Mar 2020
ASUS ROG Strix GeForce RTX 2060 OC Edition 6 GB GDDR6 with NVIDIA Turing GPU,255.0,1 Mar 2020
MSI NVIDIA GEFORCE RTX 2060 GAMING Z Graphic Card 6GB GDDR6 1830Hz RGB,245.0,2 Mar 2020
Gigabyte GeForce RTX 2060 Mini ITX OC 6GB,254.99,3 Mar 2020
GIGABYTE Nvidia GeForce RTX 2060 OC 6GB RAM GDDR6 Graphics Card,211.2,3 Mar 2020
NVIDIA GeForce RTX 2060 Founders Edition GDDR6 Graphics Card - 6GB,270.0,4 Mar 2020
Gigabyte RTX 2060 Super Gaming OC,320.0,6 Mar 2020
Nvidia GeForce RTX2060 Super Founders Edition 8 GB GDDR6 Graphics Card,300.0,7 Mar 2020
Gigabyte GeForce RTX 2060 GAMING OC PRO 6G,267.0,7 Mar 2020
Asus GeForce RTX 2060 DUAL EVO Advanced 6GB Graphics Card,240.0,8 Mar 2020
EVGA GeForce RTX 2060 XC Black Edition VR Ready graphics card,209.0,8 Mar 2020
Palit Nvidia RTX 2060 Gaming Pro OC 6GB,254.99,8 Mar 2020
Palit RTX 2060 6GB StormX Mini ITX,249.99,9 Mar 2020
Asus GeForce RTX 2060 DUAL EVO Advanced 6GB Graphics Card,245.0,11 Mar 2020
MSI NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (RTX2060-VENTUS6GOC),254.96,11 Mar 2020
Nvidia Geforce RTX 2060 Super Gainward Ghost 8GB GDDR6 Graphics Card 2,327.5,13 Mar 2020
Gigabyte RTX 2060 AORUS Xtreme edition 6GB Graphics Card,275.0,14 Mar 2020
MSI RTX 2060 Super Ventus OC 8 GB GDDR6 HDMI Graphic Card,243.0,14 Mar 2020
Palit GeForce RTX 2060 6GB Boost StormX Graphics Card - Less Than 2 Months Used,239.99,17 Mar 2020
Gigabyte NVIDIA GeForce RTX 2060 6GB MINI ITX OC Turing Graphics Card,210.0,17 Mar 2020
Asus GeForce RTX 2060 DUAL EVO Advanced 6GB Graphics Card,240.0,17 Mar 2020
GIGABYTE AORUS GeForce RTX 2060 Super 8GB GDDR6 Graphics Card (GVN206SAORUS8GC),355.0,19 Mar 2020
Used - ASUS NVIDIA GeForce RTX 2060 6GB ROG Strix OC Gaming,250.0,20 Mar 2020
MSI NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card (RTX2060-VENTUS6GOC),190.0,20 Mar 2020
Used - ASUS NVIDIA GeForce RTX 2060 6GB ROG Strix OC Gaming,295.0,20 Mar 2020
Gigabyte GeForce RTX 2060 Mini ITX OC 6GB,260.0,22 Mar 2020
Asus ROG Strix GeForce RTX 2060 SUPER Evo OC Edition,400.0,22 Mar 2020
