Name,Price,Date
Sapphire AMD Radeon Rx Vega 56 8GB HBM2 PCI-Express Graphics Card (No Box),182.0,31 Jan 2020
PowerColor AMD Radeon Rx Vega 56 8GB HBM2 PCI-Express Graphics Card,185.0,2 Feb 2020
Gigabyte Radeon RX Vega 56 8GB GAMING Graphics Card,182.0,2 Feb 2020
Sapphire AMD Radeon  RX Vega 56,191.0,6 Feb 2020
PowerColor AMD Radeon RX VEGA 56 8GB HBM2 PCI-Express Video Card,180.0,8 Feb 2020
"PowerColor Radeon RX Vega 56 Red Dragon 8GB HBM2 PCIe 3.0 Graphics Card, 14nm",180.0,9 Feb 2020
Gigabyte Radeon RX Vega 56 8GB GAMING Graphics Card,147.6,15 Feb 2020
Sapphire AMD RADEON RX VEGA 56 PULSE 8GB HBM2 Graphics Card - Mint condition,175.0,15 Feb 2020
ASUS Radeon RX VEGA 56 ROG Strix OC 8GB HBM2 PCI-Express Graphics Card,180.0,20 Feb 2020
MSI AMD Radeon RX Vega 56 Air Boost 8GB HBM2 OC Graphics Card,157.0,20 Feb 2020
Gigabyte Radeon RX Vega 56 8GB GAMING Graphics Card BoxedIn very good condition.,175.95,21 Feb 2020
ASUS AMD Radeon RX VEGA 56 8GB ROG Strix OC HBM2 Pci-e 3.0 Graphics Card,190.0,23 Feb 2020
AMD Sapphire Nitro Radeon RX Vega 56 8GB HBM2,188.13,25 Feb 2020
ASUS STRIX RX VEGA 56 AMD OC EDITION 8GB PCI EXPRESS VEGA56 GPU,204.0,26 Feb 2020
Sapphire Radeon RX Vega 56 | Nitro+ Limited Edition | 8GB HBM2 | Graphics Card,180.0,28 Feb 2020
SAPPHIRE AMD Radeon RX Vega 56 8 GB HBM2 PCI Express Graphics Video Compute Card,155.0,29 Feb 2020
MSI Radeon RX Vega 56 Air Boost 8gb OC HBM2 - Excellent condition,166.0,1 Mar 2020
PowerColor AMD Radeon RX VEGA 56 8GB HBM2 PCI-Express Video Card,180.0,7 Mar 2020
Gigabyte Radeon RX Vega 56 8GB GAMING Graphics Card,168.5,7 Mar 2020
"PowerColor Radeon RX Vega 56 Red Dragon 8GB HBM2 PCIe 3.0 Graphics Card, 14nm",160.2,8 Mar 2020
Gigabyte Radeon RX Vega 56 8GB GAMING Graphics Card,117.0,8 Mar 2020
PowerColor Radeon™ RX VEGA 56 8GB Samsung HBM2  - Excellent Condition,158.0,9 Mar 2020
GIGABYTE AMD Radeon RX Vega 56 OC 8GB 8G 2048-bit HBM2 PCI-E FREE SHIPPING,183.0,10 Mar 2020
Radeon Rx Vega 56 Powercolor GPU Graphics Card,166.0,18 Mar 2020
MSI Radeon Vega 56 Air Boost 8G OC Graphics Card,148.0,19 Mar 2020
GIGABYTE AMD Radeon RX Vega 56 OC 8GB 8G 2048-bit HBM2 PCI-E FREE SHIPPING,183.0,21 Mar 2020
Sapphire AMD Radeon Rx Vega 56 8GB HBM2 PCI-Express Graphics Card,163.63,21 Mar 2020
MSI Radeon RX VEGA 56 8GB HBM2 Gaming Graphics Card - OC Edition - Boxed,199.99,21 Mar 2020
MSI Radeon RX Vega 56 Air Boost 8GB HBM2 memory OC ,181.0,22 Mar 2020
GIGABYTE Radeon RX Vega 56 8GB Excellent contditon 8 months of Warranty!,199.0,23 Mar 2020
